actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.1977083384990692
0.15276455879211426,0.19652417302131653
0.15529286861419678,0.19535326957702637
0.15776026248931885,0.19419457018375397
0.1601690798997879,0.19304275512695312
0.15519747138023376,0.19183719158172607
0.1531791090965271,0.19064129889011383
0.1467219442129135,0.1894233226776123
0.13588865101337433,0.1881510466337204
0.12945690751075745,0.1868566870689392
0.11864502727985382,0.1855091005563736
0.10351292043924332,0.18407829105854034
0.0841178223490715,0.1825317144393921
0.06923216581344604,0.18090783059597015
0.05006934329867363,0.17917180061340332
0.026684356853365898,0.17730167508125305
0.003488851711153984,0.1752903312444687
0.0,0.1731848120689392
0.0,0.17091558873653412
0.0,0.16845892369747162
0.0,0.16581901907920837
0.0,0.16303275525569916
0.0,0.16010411083698273
0.0,0.15703849494457245
0.0,0.15383730828762054
0.0,0.15053705871105194
0.0,0.14710791409015656
0.0,0.1435532420873642
0.0,0.13994120061397552
0.0,0.13245001435279846
0.0,0.12860649824142456
0.0,0.12467917799949646
0.0,0.12070127576589584
0.0,0.11670395731925964
0.0,0.11265845596790314
0.0,0.10859460383653641
0.0,0.10454509407281876
0.0,0.10047619789838791
0.0,0.09641976654529572
0.0,0.09237473458051682
0.0,0.088339664041996
0.0,0.08431369811296463
0.0,0.08032698184251785
0.0,0.07644268125295639
0.0,0.07268840074539185
0.0,0.06909211724996567
0.0,0.06561510264873505
0.0,0.06225299835205078
0.0,0.05900131165981293
0.0,0.05585569143295288
0.0,0.05284450203180313
0.0,0.04993046075105667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12648335099220276
0.0,0.12543083727359772
0.00997406430542469,0.12452661246061325
0.022319070994853973,0.12373140454292297
0.043141577392816544,0.12310504168272018
0.05925390496850014,0.12261099368333817
0.075090691447258,0.12224472314119339
0.09938178211450577,0.12206663191318512
0.11894083023071289,0.12203826755285263
0.1294858455657959,0.12208876758813858
0.15294551849365234,0.12231478095054626
0.1629919409751892,0.12261173129081726
0.17725719511508942,0.12300974875688553
0.19132819771766663,0.1235070452094078
0.20085477828979492,0.12406731396913528
0.20590564608573914,0.1246560588479042
0.2109055519104004,0.12527267634868622
0.22021591663360596,0.12594877183437347
0.2207016497850418,0.12661752104759216
0.22556547820568085,0.12731240689754486
0.2260282337665558,0.12799859046936035
0.22215233743190765,0.12864571809768677
0.21835651993751526,0.12925449013710022
0.20591920614242554,0.12976203858852386
0.20239366590976715,0.13023550808429718
0.1858556866645813,0.13057929277420044
0.17391927540302277,0.13083039224147797
0.1577950268983841,0.13095885515213013
0.13753558695316315,0.13093671202659607
0.11754992604255676,0.1307685524225235
0.09782540798187256,0.13045857846736908
0.07399089634418488,0.12997828423976898
0.04609508067369461,0.1293032169342041
0.018543172627687454,0.12843742966651917
3.7017241993453354e-05,0.12745141983032227
0.0,0.1261231154203415
0.0,0.12455940246582031
0.0,0.12273599952459335
0.0,0.12069235742092133
0.0,0.11856415122747421
0.0,0.11609644442796707
0.0,0.11345955729484558
0.0,0.11062657833099365
0.0,0.10760299116373062
0.0,0.10452355444431305
0.0,0.10113094747066498
0.0,0.09756331145763397
0.0,0.09385804831981659
0.0,0.09001877158880234
0.0,0.08608121424913406
0.0,0.08204718679189682
0.0,0.0779193788766861
0.0,0.07382883876562119
0.0,0.06983800232410431
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1217578649520874
0.0,0.11957155168056488
0.0,0.11753096431493759
0.0,0.11563070118427277
0.0,0.11386585980653763
0.0,0.11223161965608597
0.0,0.11075509339570999
0.0,0.10943156480789185
0.0,0.10825584828853607
0.0,0.10722266882658005
0.0,0.10632666200399399
0.0,0.1055312231183052
0.0,0.10480117052793503
0.0,0.10416603088378906
0.0,0.10362271964550018
0.0,0.10316799581050873
0.004526791628450155,0.10279867053031921
0.014730039983987808,0.10251281410455704
0.024763567373156548,0.1023070365190506
0.030275912955403328,0.1021457239985466
0.031334370374679565,0.1019960567355156
0.036721475422382355,0.10188966989517212
0.037659935653209686,0.10179265588521957
0.03857304900884628,0.10170504450798035
0.04817967116832733,0.1016901284456253
0.05328323692083359,0.10171429067850113
0.06266822665929794,0.10180788487195969
0.05884190648794174,0.10187210887670517
0.050709523260593414,0.10187550634145737
0.03832881897687912,0.10178785026073456
0.030473140999674797,0.10164427757263184
0.027074240148067474,0.10147856920957565
0.019349420443177223,0.10125921666622162
0.01607506535947323,0.10102025419473648
0.012827565893530846,0.10076218843460083
0.013964492827653885,0.10051736235618591
0.006347143556922674,0.10022115707397461
0.0031744157895445824,0.09990744292736053
2.2924399672774598e-05,0.09957656264305115
0.0,0.09922902286052704
0.0,0.09883267432451248
0.0,0.09842163324356079
0.0,0.09796354174613953
0.0,0.09749284386634827
0.24316257238388062,0.09700903296470642
0.24158048629760742,0.1982903778553009
0.240006223320961,0.19845519959926605
0.238438680768013,0.19860827922821045
0.2412363886833191,0.19878196716308594
0.23962022364139557,0.19894248247146606
0.23801171779632568,0.19909510016441345
0.23641033470630646,0.19923019409179688
0.23481501638889313,0.1993546187877655
0.2332252711057663,0.19946801662445068
0.23164063692092896,0.19957049190998077
0.22570110857486725,0.19969461858272552
0.21546685695648193,0.19977350533008575
0.2053537666797638,0.19977742433547974
0.19535592198371887,0.19970974326133728
0.18110856413841248,0.19956918060779572
0.16702581942081451,0.19920134544372559
0.15309925377368927,0.1988637000322342
0.13932135701179504,0.19843465089797974
0.12132584303617477,0.19791385531425476
0.10352461785078049,0.19727236032485962
0.08154941350221634,0.19650806486606598
0.06416923552751541,0.1955987811088562
0.03823497146368027,0.19458016753196716
0.012577012181282043,0.1933879554271698
0.0,0.19202877581119537
0.0,0.19047774374485016
0.0,0.18876990675926208
0.0,0.18687792122364044
0.0,0.1848074197769165
0.0,0.18253067135810852
0.0,0.18005646765232086
0.0,0.17742018401622772
0.0,0.1746577024459839
0.0,0.17170998454093933
0.0,0.16858236491680145
0.0,0.16530996561050415
0.0,0.16196303069591522
0.0,0.15854230523109436
0.0,0.15501759946346283
0.0,0.15139172971248627
0.0,0.14766551554203033
0.0,0.14384260773658752
0.0,0.13998959958553314
0.0,0.13607442378997803
0.0,0.13212989270687103
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19730255007743835
0.0,0.194723442196846
0.0,0.19224581122398376
0.0,0.18989738821983337
0.0,0.1877071112394333
0.0,0.18563693761825562
0.0,0.1836492121219635
0.0,0.18170832097530365
0.0,0.17984682321548462
0.0,0.17805933952331543
0.0,0.1763121634721756
0.0,0.17463381588459015
0.0,0.17299138009548187
0.0,0.17135030031204224
0.0,0.1697109490633011
0.0,0.1680707037448883
0.0,0.1664951741695404
0.0,0.1649496853351593
0.0,0.1634330302476883
0.0,0.1619105488061905
0.09990354627370834,0.16035079956054688
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
